Insect TRT,Weight
nematode,16.5
nematode,15
nematode,11.5
nematode,12
nematode,12.5
nematode,9
nematode,16
nematode,6.5
nematode,8
nematode,14.5
nematode,7
nematode,10.5
wasp,11
wasp,11
wasp,9
wasp,5
wasp,6
wasp,11
wasp,9
wasp,10
wasp,9
wasp,8
wasp,8
wasp,5
nematode+wasp,8.5
nematode+wasp,13
nematode+wasp,12
nematode+wasp,10
nematode+wasp,12.5
nematode+wasp,8.5
nematode+wasp,9.5
nematode+wasp,7
nematode+wasp,10.5
nematode+wasp,10.5
nematode+wasp,13
nematode+wasp,9
bacterium,16
bacterium,14.5
bacterium,15
bacterium,9
bacterium,10.5
bacterium,14
bacterium,12.5
bacterium,9
bacterium,9
bacterium,9
bacterium,6.5
bacterium,8.5
control,13
control,10.5
control,11
control,10
control,14
control,12
control,17
control,9.5
control,18.5
control,17
control,15
control,11